target_hash,fiber_timestamp,bloxroute_timestamp,diff,seen_first,winner,backrun_hash,node_source
0x5bdfe876db40de199b138586e3fd8b917525a7dec5c6a1ef407ad8eca7eb1184,1676976833546,1676976833580,34,fiber,fiber,0x9c1dab26c1db7a440bc616b3b26d002b875f521a21329e8b4f2555b15f990c75,infura
0xd32391f5b14a739fc46642976e64ba6df24c5decd594740068242e95d0e69d3e,1676977092233,1676977092230,-3,bloxroute,fiber,0xe3cb099c2c24b003e1d83bb6ecc45535d34267ba4b49b0bbef3726c5656cd028,infura
0x050ac632c01b41c5d094c64c1d1b34ffbd96326cb0804c48719263b0df1494f0,1676977296084,1676977296084,0,na,fiber,0x6c8ed34b9066cbb1f06fc010393294081897cbbeb4de6632c8042da3c1457357,infura
0xe296e183a33f8322cbbbebfa5ea706ebb0e0c0ecbd5561b7f439d1ee943f3186,1676977398054,1676977398053,-1,bloxroute,fiber,0x96723272d587f2c6fe41036a9a1045bc98bd3cd5bba9f7a3e3eac83ab8b63196,infura
0xad03ff31b3571eb277c45c55b90da34f1df70e04969cab99ac9fd4a499110c5b,1676977974581,1676977974582,1,fiber,fiber,0xbe652efc6c5000d327810ee7b732b713c550e90a8ee5f82e4181e9e258c8e47a,infura
0xb12387607db0239184105210acebe880093ed304b7b4f7716fde5c5821365c3b,1676987419001,1676987419167,166,fiber,fiber,0x40a07dee86fdb9c0262d064313fa2eb9aa141e2de88484b0aa6053b79b66101c,infura
0xc04390cad59b44a100b0182e93ebbdebdc2ae4804448b618d729102cb3fdf068,1676987490098,1676987490138,40,fiber,fiber,0x07b71f45ddd633c2d28e7d7a408bd02e754f895654d6f1bc307f348edf37e99f,infura
0xe8502099034f2cd2e1d07cf2e4fbfa2bdee74664ea7b5ba74ac6ed8ba0c68073,1676987545187,1676987545188,1,fiber,fiber,0x10e4c65753640bd509326b8988052b6e6f2203c5107dcf46f6a2d75253f5576b,infura
0x2e4f933ca57df7ff14596d3a0b566bb8f3714d21bd4e69600db21bbd830719ef,1676987639782,1676987639777,-5,bloxroute,bloxroute,0x2d15915774491b636aab176e534d1b9399e2ff9ae1e37bd41f524a24fe00e4c8,infura
0xf04e230d6d5455fc055e49baa2acd8209b270fbf954320967d41edbdd769031c,1676987702578,1676987702618,40,fiber,fiber,0x3ffb3f17dde1cc9e35033a32bdc73e27b6845e662b17a787471c792d07f47b0a,infura
0x634cc3a33757fd948dc7a7104570a042a99a88f1bf47d39c49529753c07849eb,1676978918978,1676978918982,4,fiber,fiber,0x9c1dab26c1db7a440bc616b3b26d002b875f521a21329e8b4f2555b15f990c75,alchemy
0x900d5867c42833f3f452474374fed5164b8b7771bb6eb155e56f9eee4aae7765,1676979130673,1676979130698,25,fiber,fiber,0xe3cb099c2c24b003e1d83bb6ecc45535d34267ba4b49b0bbef3726c5656cd028,alchemy
0x5611a67ce559cb9fa6df659100a885308af6382897e7d2862e3b284d81625411,1676979224475,1676979224498,23,fiber,fiber,0x6c8ed34b9066cbb1f06fc010393294081897cbbeb4de6632c8042da3c1457357,alchemy
0x4773154e7de6e900cb84b7de09b3de040eb28c27c05bed5652821d2b662d8e2a,1676979307057,1676979307054,-3,bloxroute,bloxroute,0x96723272d587f2c6fe41036a9a1045bc98bd3cd5bba9f7a3e3eac83ab8b63196,alchemy
0xf6caf9fd2386694bd69fdfcc05a59402f0f624f3689874565e805237d7c8d038,1676979381372,1676979381374,2,fiber,fiber,0x0f599264ead63b1c535f748f3c67bfd34c4c99244f0b27c8caa7382bca097a7b,alchemy
0x9a9cf1f1ef5c6418b6e95e2fc4e469af063fa81d3073f65ec999e8f853f2a4bd,1676993769691,1676993769732,41,fiber,fiber,0x8fe8479be94f5c9d72cf5cf8e12cee8848aca61fef1af5757331a6179d9cec7e,alchemy
0x21cdbdc857089fbfa873dbb291dea2422160edef18d75d5974e65ee306321f86,1676993923850,1676993923852,2,fiber,fiber,0x9ef4618cc329cfdca99fc1617e16dbeb30734fe495941e1b82fd21544ea58ed4,alchemy
0xdbca26e52805b3059d6b55dbe6c551d80cffcc175e0209040529bdc694978aa0,1676993975167,1676993975164,-3,bloxroute,bloxroute,0xb37bdbf525427fa2fe79377c3669ea48eabab8e561d2ec4969d7ffd59cc0b1bb,alchemy
0xad6688b37f8a619ce6c359a945b28efbf7fd5a314511469e9b60cfa8ce3c344c,1676994445120,1676994445123,3,fiber,fiber,0x64ae7c8c196b23515448b1b7f8a4f53ecb83daf0b2e1d1b6d020091c96764904,alchemy
0x5760b61850df57acaf32347ddf6b67d81c79c78c9794d08c428d90612f4ce0f5,1676994506924,1676994506951,27,fiber,fiber,0xde48705d0bd5d34bcf80553fdb6eb026a479a22beb7796eb9ccb9d9a9c01fab7,alchemy
0x386993ff1e0225b7c0d250f3aa2cad21e0dc1be77685174a55e8ad3b6db074df,1676979475786,1676979475793,7,fiber,fiber,0x9c1dab26c1db7a440bc616b3b26d002b875f521a21329e8b4f2555b15f990c75,residential_belgium
0xc2da7127a02a94b6be5941847dac2f5ba48564598463543465f55f3ebbd8f813,1676979556522,1676979556521,-1,bloxroute,bloxroute,0xe3cb099c2c24b003e1d83bb6ecc45535d34267ba4b49b0bbef3726c5656cd028,residential_belgium
0x50b3e8fadc6abd78f1baa51e68aac4549703a9be00bc6162d193446ca6e7dcc8,1676979621394,1676979621395,1,fiber,fiber,0x6c8ed34b9066cbb1f06fc010393294081897cbbeb4de6632c8042da3c1457357,residential_belgium
0x5970732ab9225ca9e6732f619897cd112fa33c7715738d7e919da6564855afca,1676979679104,1676979679106,2,fiber,fiber,0x96723272d587f2c6fe41036a9a1045bc98bd3cd5bba9f7a3e3eac83ab8b63196,residential_belgium
0x69356a05ab79a5ab927bcd9691606e25d26d7a30c5d0a07aacffdea91943822c,1676979761764,1676979761769,5,fiber,fiber,0x0f599264ead63b1c535f748f3c67bfd34c4c99244f0b27c8caa7382bca097a7b,residential_belgium
0x2eea7d90d8db8baa9f8a89f3317f6d6dcea21203ae4d3c73d16700119ba40fb9,1676994654642,1676994654644,2,fiber,fiber,0x7569247f781f0f9fa16794f0d219bc90aa2ab69d415ae2ee73416c20d1efc756,residential_belgium
